"","SpeciesID","prob"
"48","Balaenoptera_physalus",0
"49","Balticina_africana",0
"53","Bathyraja_cousseauae",0
"54","Bathyraja_griseocauda",0
"55","Bathyraja_macloviana",0
"56","Bathyraja_multispinis",0
"57","Bathyraja_scaphiops",0
"59","Bolocera_kerguelensis",0
"62","Caecianiropsis_ectiformis",0
"66","Callochiton_puniceus",0
"67","Campanularia_sp",0
"70","Careproctus_sp",0
"71","Ceramaster_patagonicus",0
"72","Chaetopterus_antarcticus",0
"73","Cheiraster_(Luidiaster)_gerlachei",0
"75","Cladodactyla_crocea",0
"78","Clavularia_sp",0
"81","Coelorinchus_kayomaru",0
"82","Coelorinchus_marinii",0
"87","Coperonus_comptus",0
"88","Cosmasterias_lurida",0
"90","Cottunculus_granulosus",0
"91","Cryosignum_sp",0
"93","Ctenodiscus_australis",0
"97","Cystodytes_antarcticus",0
"98","Dactylanthus_antarcticus",0
"99","Daption_capense",0
"100","Desmosoma_sp",0
"111","Diomedea_sp",0
"113","Diplodontias_singularis",0
"114","Diplopteraster_clarki",0
"118","Eatoniella_spp",0
"119","Echinozone_sp",0
"127","Eubalaena_australis",0
"130","Eudyptes_chrysocome",0
"138","Eurypodius_sp",0
"139","Falsilunatia_carcellesi",0
"142","Fuegotrophon_pallidus",0
"143","Fulmarus_glacialoides",0
"146","Glabraster_antarctica",0
"147","Globicephala_melas",0
"152","Guttigadus_kongi",0
"154","Gyrodinium_sp",0
"161","Henricia_obesa",0
"162","Henricia_studeri",0
"166","Hippasteria_falklandica",0
"168","Hormathia_pectinata",0
"169","Hyalinoecia_artifex",0
"170","Hyperoodon_planifrons",0
"171","Ianiropsis_sp",0
"173","Iathrippa_menziesi",0
"174","Iathrippa_multidens",0
"175","Iathrippa_sp",0
"181","Joeropsis_curvicornis",0
"182","Joeropsis_intermedius",0
"183","Joeropsis_sp",0
"186","Lagenorhynchus_australis",0
"187","Lagenorhynchus_cruciger",0
"188","Lanice_sp",0
"193","Leptochiton_kerguelensis",0
"194","Leptochiton_medinae",0
"195","Leptychaster_sp",0
"200","Liotella_crassicostata",0
"207","Macrochiridothea_stebbingi",0
"208","Macronectes_giganteus",0
"209","Macronectes_halli",0
"210","Macrourus_carinatus",0
"212","Macrourus_whitsoni",0
"214","Magelona_alleni",0
"219","Meridiosignum_menziesi",0
"220","Meridiosignum_undulatum",0
"221","Mesoplodon_bowdoini",0
"222","Mesoplodon_grayi",0
"223","Mesoplodon_layardii",0
"224","Metepimeria_acanthurus",0
"226","Moruloidea_darwinii",0
"227","Munna_gallardoi",0
"228","Munna_longipoda",0
"229","Munna_pallida",0
"230","Munnogonium_diplonychia",0
"231","Munnogonium_falklandicum",0
"235","Neasellus_argentinensis",0
"236","Neasellus_bicarinatus",0
"239","Neojaera_antarctica",0
"244","Nothria_anoculata",0
